year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
1996,php,50.1,7.48,1334.11,30.07,2568.29,0.33,0.94
1997,php,52.9,5.59,1294.11,30.4,2080.62,0.46,1.02
1998,php,57.78,9.23,1000.01,31.14,2198.21,0.61,0.99
1999,php,61.22,5.94,1123.16,30.16,3344.17,0.38,0.94
2000,php,63.65,3.98,1073.26,30.28,3112.97,0.39,0.92
2001,php,67.05,5.35,991.15,30.47,2862.34,0.53,0.88
2002,php,68.88,2.72,1037.17,30.45,2417.42,0.63,0.88
2003,php,70.46,2.29,1049.39,30.42,2738.8,0.62,0.88
2004,php,73.86,4.83,1122.86,30.46,2430.44,0.53,0.88
2005,php,78.67,6.52,1245.29,30.51,2549.97,0.68,0.88
2006,php,82.99,5.49,1452.22,30.52,2538.15,0.64,0.79
2007,php,85.39,2.9,1741.6,30.4,2758.08,0.66,0.82
2008,php,92.45,8.26,1990.36,30.07,3160.46,0.54,0.82
2009,php,96.35,4.22,1893.28,30.15,2818.23,0.66,0.82
